order_id,order_details_id,item_id,quantity,order_date_id,order_date,order_date_day,order_date_month,order_date_year,order_date_week,order_date_quarter,order_time_id,order_time,order_time_hour,order_time_minute,order_time_second,order_time_am_pm,order_date_day_name,order_date_weekflag,order_eat_time
1,1,109,1,20230101,2023-01-01,1,1,2023,52,1,113836,11:38:36,11,38,36,AM,Sunday,Weekend,Brunch
2,1,106,1,20230101,2023-01-01,1,1,2023,52,1,115740,11:57:40,11,57,40,AM,Sunday,Weekend,Brunch
2,2,108,1,20230101,2023-01-01,1,1,2023,52,1,115740,11:57:40,11,57,40,AM,Sunday,Weekend,Brunch
2,3,117,1,20230101,2023-01-01,1,1,2023,52,1,115740,11:57:40,11,57,40,AM,Sunday,Weekend,Brunch
2,4,124,1,20230101,2023-01-01,1,1,2023,52,1,115740,11:57:40,11,57,40,AM,Sunday,Weekend,Brunch
2,5,129,1,20230101,2023-01-01,1,1,2023,52,1,115740,11:57:40,11,57,40,AM,Sunday,Weekend,Brunch
3,1,117,1,20230101,2023-01-01,1,1,2023,52,1,121228,12:12:28,12,12,28,PM,Sunday,Weekend,Lunch
3,2,119,1,20230101,2023-01-01,1,1,2023,52,1,121228,12:12:28,12,12,28,PM,Sunday,Weekend,Lunch
4,1,117,1,20230101,2023-01-01,1,1,2023,52,1,121631,12:16:31,12,16,31,PM,Sunday,Weekend,Lunch
5,1,117,1,20230101,2023-01-01,1,1,2023,52,1,122130,12:21:30,12,21,30,PM,Sunday,Weekend,Lunch
6,1,101,1,20230101,2023-01-01,1,1,2023,52,1,122936,12:29:36,12,29,36,PM,Sunday,Weekend,Lunch
6,2,114,1,20230101,2023-01-01,1,1,2023,52,1,122936,12:29:36,12,29,36,PM,Sunday,Weekend,Lunch
7,1,123,1,20230101,2023-01-01,1,1,2023,52,1,125037,12:50:37,12,50,37,PM,Sunday,Weekend,Lunch
8,1,123,1,20230101,2023-01-01,1,1,2023,52,1,125137,12:51:37,12,51,37,PM,Sunday,Weekend,Lunch
9,1,108,1,20230101,2023-01-01,1,1,2023,52,1,125201,12:52:01,12,52,1,PM,Sunday,Weekend,Lunch
9,2,110,1,20230101,2023-01-01,1,1,2023,52,1,125201,12:52:01,12,52,1,PM,Sunday,Weekend,Lunch
9,3,117,2,20230101,2023-01-01,1,1,2023,52,1,125201,12:52:01,12,52,1,PM,Sunday,Weekend,Lunch
9,4,122,1,20230101,2023-01-01,1,1,2023,52,1,125201,12:52:01,12,52,1,PM,Sunday,Weekend,Lunch
9,5,126,1,20230101,2023-01-01,1,1,2023,52,1,125201,12:52:01,12,52,1,PM,Sunday,Weekend,Lunch
9,6,129,1,20230101,2023-01-01,1,1,2023,52,1,125201,12:52:01,12,52,1,PM,Sunday,Weekend,Lunch
9,7,130,1,20230101,2023-01-01,1,1,2023,52,1,125201,12:52:01,12,52,1,PM,Sunday,Weekend,Lunch
9,8,132,1,20230101,2023-01-01,1,1,2023,52,1,125201,12:52:01,12,52,1,PM,Sunday,Weekend,Lunch
10,1,105,1,20230101,2023-01-01,1,1,2023,52,1,130015,13:00:15,13,0,15,PM,Sunday,Weekend,Lunch
10,2,129,1,20230101,2023-01-01,1,1,2023,52,1,130015,13:00:15,13,0,15,PM,Sunday,Weekend,Lunch
11,1,101,1,20230101,2023-01-01,1,1,2023,52,1,130259,13:02:59,13,2,59,PM,Sunday,Weekend,Lunch
11,2,102,2,20230101,2023-01-01,1,1,2023,52,1,130259,13:02:59,13,2,59,PM,Sunday,Weekend,Lunch
11,3,113,1,20230101,2023-01-01,1,1,2023,52,1,130259,13:02:59,13,2,59,PM,Sunday,Weekend,Lunch
12,1,102,2,20230101,2023-01-01,1,1,2023,52,1,130441,13:04:41,13,4,41,PM,Sunday,Weekend,Lunch
12,2,104,1,20230101,2023-01-01,1,1,2023,52,1,130441,13:04:41,13,4,41,PM,Sunday,Weekend,Lunch
12,3,117,1,20230101,2023-01-01,1,1,2023,52,1,130441,13:04:41,13,4,41,PM,Sunday,Weekend,Lunch
13,1,129,1,20230101,2023-01-01,1,1,2023,52,1,131155,13:11:55,13,11,55,PM,Sunday,Weekend,Lunch
14,1,114,1,20230101,2023-01-01,1,1,2023,52,1,131419,13:14:19,13,14,19,PM,Sunday,Weekend,Lunch
15,1,107,1,20230101,2023-01-01,1,1,2023,52,1,133300,13:33:00,13,33,0,PM,Sunday,Weekend,Lunch
15,2,114,1,20230101,2023-01-01,1,1,2023,52,1,133300,13:33:00,13,33,0,PM,Sunday,Weekend,Lunch
15,3,121,1,20230101,2023-01-01,1,1,2023,52,1,133300,13:33:00,13,33,0,PM,Sunday,Weekend,Lunch
15,4,124,1,20230101,2023-01-01,1,1,2023,52,1,133300,13:33:00,13,33,0,PM,Sunday,Weekend,Lunch
16,1,106,1,20230101,2023-01-01,1,1,2023,52,1,133407,13:34:07,13,34,7,PM,Sunday,Weekend,Lunch
16,2,111,1,20230101,2023-01-01,1,1,2023,52,1,133407,13:34:07,13,34,7,PM,Sunday,Weekend,Lunch
16,3,125,1,20230101,2023-01-01,1,1,2023,52,1,133407,13:34:07,13,34,7,PM,Sunday,Weekend,Lunch
17,1,101,1,20230101,2023-01-01,1,1,2023,52,1,135300,13:53:00,13,53,0,PM,Sunday,Weekend,Lunch
17,2,116,1,20230101,2023-01-01,1,1,2023,52,1,135300,13:53:00,13,53,0,PM,Sunday,Weekend,Lunch
17,3,117,1,20230101,2023-01-01,1,1,2023,52,1,135300,13:53:00,13,53,0,PM,Sunday,Weekend,Lunch
17,4,118,1,20230101,2023-01-01,1,1,2023,52,1,135300,13:53:00,13,53,0,PM,Sunday,Weekend,Lunch
17,5,124,1,20230101,2023-01-01,1,1,2023,52,1,135300,13:53:00,13,53,0,PM,Sunday,Weekend,Lunch
17,6,125,1,20230101,2023-01-01,1,1,2023,52,1,135300,13:53:00,13,53,0,PM,Sunday,Weekend,Lunch
17,7,127,1,20230101,2023-01-01,1,1,2023,52,1,135300,13:53:00,13,53,0,PM,Sunday,Weekend,Lunch
17,8,128,1,20230101,2023-01-01,1,1,2023,52,1,135300,13:53:00,13,53,0,PM,Sunday,Weekend,Lunch
17,9,129,1,20230101,2023-01-01,1,1,2023,52,1,135300,13:53:00,13,53,0,PM,Sunday,Weekend,Lunch
