order_details_id,order_id,order_date,order_time,order_date_day,order_date_month,order_date_year,order_time_hour,order_time_minute,order_time_second,order_date_day_name,order_date_weekflag,order_eat_time,menu_item_id,item_name,category,price,revenue
1,1,2023-01-01,11:38:36,1,1,2023,11,38,36,Sunday,Weekend,Brunch,109,Korean Beef Bowl,Asian,17.95,8.975
1,2,2023-01-01,11:57:40,1,1,2023,11,57,40,Sunday,Weekend,Brunch,108,Tofu Pad Thai,Asian,14.5,7.25
2,2,2023-01-01,11:57:40,1,1,2023,11,57,40,Sunday,Weekend,Brunch,124,Spaghetti,Italian,14.5,7.25
3,2,2023-01-01,11:57:40,1,1,2023,11,57,40,Sunday,Weekend,Brunch,117,Chicken Burrito,Mexican,12.95,6.475
4,2,2023-01-01,11:57:40,1,1,2023,11,57,40,Sunday,Weekend,Brunch,129,Mushroom Ravioli,Italian,15.5,7.75
5,2,2023-01-01,11:57:40,1,1,2023,11,57,40,Sunday,Weekend,Brunch,106,French Fries,American,7.0,3.5
1,3,2023-01-01,12:12:28,1,1,2023,12,12,28,Sunday,Weekend,Lunch,117,Chicken Burrito,Mexican,12.95,6.475
2,3,2023-01-01,12:12:28,1,1,2023,12,12,28,Sunday,Weekend,Lunch,119,Chicken Torta,Mexican,11.95,5.975
1,4,2023-01-01,12:16:31,1,1,2023,12,16,31,Sunday,Weekend,Lunch,117,Chicken Burrito,Mexican,12.95,6.475
1,5,2023-01-01,12:21:30,1,1,2023,12,21,30,Sunday,Weekend,Lunch,117,Chicken Burrito,Mexican,12.95,6.475
1,6,2023-01-01,12:29:36,1,1,2023,12,29,36,Sunday,Weekend,Lunch,101,Hamburger,American,12.95,6.475
2,6,2023-01-01,12:29:36,1,1,2023,12,29,36,Sunday,Weekend,Lunch,114,Potstickers,Asian,9.0,4.5
1,7,2023-01-01,12:50:37,1,1,2023,12,50,37,Sunday,Weekend,Lunch,123,Chips & Guacamole,Mexican,9.0,4.5
1,8,2023-01-01,12:51:37,1,1,2023,12,51,37,Sunday,Weekend,Lunch,123,Chips & Guacamole,Mexican,9.0,4.5
1,9,2023-01-01,12:52:01,1,1,2023,12,52,1,Sunday,Weekend,Lunch,108,Tofu Pad Thai,Asian,14.5,7.25
2,9,2023-01-01,12:52:01,1,1,2023,12,52,1,Sunday,Weekend,Lunch,126,Fettuccine Alfredo,Italian,14.5,7.25
3,9,2023-01-01,12:52:01,1,1,2023,12,52,1,Sunday,Weekend,Lunch,110,Pork Ramen,Asian,17.95,8.975
4,9,2023-01-01,12:52:01,1,1,2023,12,52,1,Sunday,Weekend,Lunch,117,Chicken Burrito,Mexican,12.95,6.475
5,9,2023-01-01,12:52:01,1,1,2023,12,52,1,Sunday,Weekend,Lunch,117,Chicken Burrito,Mexican,12.95,6.475
6,9,2023-01-01,12:52:01,1,1,2023,12,52,1,Sunday,Weekend,Lunch,129,Mushroom Ravioli,Italian,15.5,7.75
7,9,2023-01-01,12:52:01,1,1,2023,12,52,1,Sunday,Weekend,Lunch,122,Chips & Salsa,Mexican,7.0,3.5
8,9,2023-01-01,12:52:01,1,1,2023,12,52,1,Sunday,Weekend,Lunch,130,Shrimp Scampi,Italian,19.95,9.975
9,9,2023-01-01,12:52:01,1,1,2023,12,52,1,Sunday,Weekend,Lunch,132,Eggplant Parmesan,Italian,16.95,8.475
1,10,2023-01-01,13:00:15,1,1,2023,13,0,15,Sunday,Weekend,Lunch,129,Mushroom Ravioli,Italian,15.5,7.75
2,10,2023-01-01,13:00:15,1,1,2023,13,0,15,Sunday,Weekend,Lunch,105,Mac & Cheese,American,7.0,3.5
