order_date_id,order_date,order_date_day,order_date_month,order_date_year,order_date_week,order_date_quarter,order_date_day_name,order_date_weekflag
20230101,2023-01-01,1,1,2023,52,1,Sunday,Weekend
20230102,2023-01-02,2,1,2023,1,1,Monday,Weekday
20230103,2023-01-03,3,1,2023,1,1,Tuesday,Weekday
20230104,2023-01-04,4,1,2023,1,1,Wednesday,Weekday
20230105,2023-01-05,5,1,2023,1,1,Thursday,Weekday
20230106,2023-01-06,6,1,2023,1,1,Friday,Weekday
20230107,2023-01-07,7,1,2023,1,1,Saturday,Weekend
20230108,2023-01-08,8,1,2023,1,1,Sunday,Weekend
20230109,2023-01-09,9,1,2023,2,1,Monday,Weekday
20230110,2023-01-10,10,1,2023,2,1,Tuesday,Weekday
20230111,2023-01-11,11,1,2023,2,1,Wednesday,Weekday
20230112,2023-01-12,12,1,2023,2,1,Thursday,Weekday
20230113,2023-01-13,13,1,2023,2,1,Friday,Weekday
20230114,2023-01-14,14,1,2023,2,1,Saturday,Weekend
20230115,2023-01-15,15,1,2023,2,1,Sunday,Weekend
20230116,2023-01-16,16,1,2023,3,1,Monday,Weekday
20230117,2023-01-17,17,1,2023,3,1,Tuesday,Weekday
20230118,2023-01-18,18,1,2023,3,1,Wednesday,Weekday
20230119,2023-01-19,19,1,2023,3,1,Thursday,Weekday
20230120,2023-01-20,20,1,2023,3,1,Friday,Weekday
20230121,2023-01-21,21,1,2023,3,1,Saturday,Weekend
20230122,2023-01-22,22,1,2023,3,1,Sunday,Weekend
20230123,2023-01-23,23,1,2023,4,1,Monday,Weekday
20230124,2023-01-24,24,1,2023,4,1,Tuesday,Weekday
20230125,2023-01-25,25,1,2023,4,1,Wednesday,Weekday
20230126,2023-01-26,26,1,2023,4,1,Thursday,Weekday
20230127,2023-01-27,27,1,2023,4,1,Friday,Weekday
20230128,2023-01-28,28,1,2023,4,1,Saturday,Weekend
20230129,2023-01-29,29,1,2023,4,1,Sunday,Weekend
20230130,2023-01-30,30,1,2023,5,1,Monday,Weekday
20230131,2023-01-31,31,1,2023,5,1,Tuesday,Weekday
20230201,2023-02-01,1,2,2023,5,1,Wednesday,Weekday
20230202,2023-02-02,2,2,2023,5,1,Thursday,Weekday
20230203,2023-02-03,3,2,2023,5,1,Friday,Weekday
20230204,2023-02-04,4,2,2023,5,1,Saturday,Weekend
20230205,2023-02-05,5,2,2023,5,1,Sunday,Weekend
20230206,2023-02-06,6,2,2023,6,1,Monday,Weekday
20230207,2023-02-07,7,2,2023,6,1,Tuesday,Weekday
20230208,2023-02-08,8,2,2023,6,1,Wednesday,Weekday
20230209,2023-02-09,9,2,2023,6,1,Thursday,Weekday
20230210,2023-02-10,10,2,2023,6,1,Friday,Weekday
20230211,2023-02-11,11,2,2023,6,1,Saturday,Weekend
20230212,2023-02-12,12,2,2023,6,1,Sunday,Weekend
20230213,2023-02-13,13,2,2023,7,1,Monday,Weekday
20230214,2023-02-14,14,2,2023,7,1,Tuesday,Weekday
20230215,2023-02-15,15,2,2023,7,1,Wednesday,Weekday
20230216,2023-02-16,16,2,2023,7,1,Thursday,Weekday
20230217,2023-02-17,17,2,2023,7,1,Friday,Weekday
20230218,2023-02-18,18,2,2023,7,1,Saturday,Weekend
20230219,2023-02-19,19,2,2023,7,1,Sunday,Weekend
20230220,2023-02-20,20,2,2023,8,1,Monday,Weekday
20230221,2023-02-21,21,2,2023,8,1,Tuesday,Weekday
20230222,2023-02-22,22,2,2023,8,1,Wednesday,Weekday
20230223,2023-02-23,23,2,2023,8,1,Thursday,Weekday
20230224,2023-02-24,24,2,2023,8,1,Friday,Weekday
20230225,2023-02-25,25,2,2023,8,1,Saturday,Weekend
20230226,2023-02-26,26,2,2023,8,1,Sunday,Weekend
20230227,2023-02-27,27,2,2023,9,1,Monday,Weekday
20230228,2023-02-28,28,2,2023,9,1,Tuesday,Weekday
20230301,2023-03-01,1,3,2023,9,1,Wednesday,Weekday
20230302,2023-03-02,2,3,2023,9,1,Thursday,Weekday
20230303,2023-03-03,3,3,2023,9,1,Friday,Weekday
20230304,2023-03-04,4,3,2023,9,1,Saturday,Weekend
20230305,2023-03-05,5,3,2023,9,1,Sunday,Weekend
20230306,2023-03-06,6,3,2023,10,1,Monday,Weekday
20230307,2023-03-07,7,3,2023,10,1,Tuesday,Weekday
20230308,2023-03-08,8,3,2023,10,1,Wednesday,Weekday
20230309,2023-03-09,9,3,2023,10,1,Thursday,Weekday
20230310,2023-03-10,10,3,2023,10,1,Friday,Weekday
20230311,2023-03-11,11,3,2023,10,1,Saturday,Weekend
20230312,2023-03-12,12,3,2023,10,1,Sunday,Weekend
20230313,2023-03-13,13,3,2023,11,1,Monday,Weekday
20230314,2023-03-14,14,3,2023,11,1,Tuesday,Weekday
20230315,2023-03-15,15,3,2023,11,1,Wednesday,Weekday
20230316,2023-03-16,16,3,2023,11,1,Thursday,Weekday
20230317,2023-03-17,17,3,2023,11,1,Friday,Weekday
20230318,2023-03-18,18,3,2023,11,1,Saturday,Weekend
20230319,2023-03-19,19,3,2023,11,1,Sunday,Weekend
20230320,2023-03-20,20,3,2023,12,1,Monday,Weekday
20230321,2023-03-21,21,3,2023,12,1,Tuesday,Weekday
20230322,2023-03-22,22,3,2023,12,1,Wednesday,Weekday
20230323,2023-03-23,23,3,2023,12,1,Thursday,Weekday
20230324,2023-03-24,24,3,2023,12,1,Friday,Weekday
20230325,2023-03-25,25,3,2023,12,1,Saturday,Weekend
20230326,2023-03-26,26,3,2023,12,1,Sunday,Weekend
20230327,2023-03-27,27,3,2023,13,1,Monday,Weekday
20230328,2023-03-28,28,3,2023,13,1,Tuesday,Weekday
20230329,2023-03-29,29,3,2023,13,1,Wednesday,Weekday
20230330,2023-03-30,30,3,2023,13,1,Thursday,Weekday
20230331,2023-03-31,31,3,2023,13,1,Friday,Weekday
