order_time_id,order_time,order_time_hour,order_time_minute,order_time_second,order_time_am_pm,order_eat_time
113836,11:38:36,11,38,36,AM,Brunch
115740,11:57:40,11,57,40,AM,Brunch
121228,12:12:28,12,12,28,PM,Lunch
121631,12:16:31,12,16,31,PM,Lunch
122130,12:21:30,12,21,30,PM,Lunch
122936,12:29:36,12,29,36,PM,Lunch
125037,12:50:37,12,50,37,PM,Lunch
125137,12:51:37,12,51,37,PM,Lunch
125201,12:52:01,12,52,1,PM,Lunch
130015,13:00:15,13,0,15,PM,Lunch
130259,13:02:59,13,2,59,PM,Lunch
130441,13:04:41,13,4,41,PM,Lunch
131155,13:11:55,13,11,55,PM,Lunch
131419,13:14:19,13,14,19,PM,Lunch
133300,13:33:00,13,33,0,PM,Lunch
133407,13:34:07,13,34,7,PM,Lunch
135300,13:53:00,13,53,0,PM,Lunch
135708,13:57:08,13,57,8,PM,Lunch
135909,13:59:09,13,59,9,PM,Lunch
140308,14:03:08,14,3,8,PM,Afternoon Snack
141429,14:14:29,14,14,29,PM,Afternoon Snack
141626,14:16:26,14,16,26,PM,Afternoon Snack
141903,14:19:03,14,19,3,PM,Afternoon Snack
142301,14:23:01,14,23,1,PM,Afternoon Snack
144444,14:44:44,14,44,44,PM,Afternoon Snack
145426,14:54:26,14,54,26,PM,Afternoon Snack
151117,15:11:17,15,11,17,PM,Afternoon Snack
153546,15:35:46,15,35,46,PM,Afternoon Snack
154101,15:41:01,15,41,1,PM,Afternoon Snack
154125,15:41:25,15,41,25,PM,Afternoon Snack
155018,15:50:18,15,50,18,PM,Afternoon Snack
155318,15:53:18,15,53,18,PM,Afternoon Snack
155408,15:54:08,15,54,8,PM,Afternoon Snack
162121,16:21:21,16,21,21,PM,Afternoon Snack
163204,16:32:04,16,32,4,PM,Afternoon Snack
165409,16:54:09,16,54,9,PM,Afternoon Snack
165609,16:56:09,16,56,9,PM,Afternoon Snack
170300,17:03:00,17,3,0,PM,Afternoon Snack
170723,17:07:23,17,7,23,PM,Afternoon Snack
171436,17:14:36,17,14,36,PM,Afternoon Snack
171520,17:15:20,17,15,20,PM,Afternoon Snack
172809,17:28:09,17,28,9,PM,Afternoon Snack
173834,17:38:34,17,38,34,PM,Afternoon Snack
175420,17:54:20,17,54,20,PM,Afternoon Snack
175548,17:55:48,17,55,48,PM,Afternoon Snack
182551,18:25:51,18,25,51,PM,Dinner
182634,18:26:34,18,26,34,PM,Dinner
182642,18:26:42,18,26,42,PM,Dinner
183300,18:33:00,18,33,0,PM,Dinner
184828,18:48:28,18,48,28,PM,Dinner
185302,18:53:02,18,53,2,PM,Dinner
185417,18:54:17,18,54,17,PM,Dinner
190145,19:01:45,19,1,45,PM,Dinner
190319,19:03:19,19,3,19,PM,Dinner
190700,19:07:00,19,7,0,PM,Dinner
191051,19:10:51,19,10,51,PM,Dinner
193040,19:30:40,19,30,40,PM,Dinner
194008,19:40:08,19,40,8,PM,Dinner
200516,20:05:16,20,5,16,PM,Evening Snack
200843,20:08:43,20,8,43,PM,Evening Snack
205016,20:50:16,20,50,16,PM,Evening Snack
205142,20:51:42,20,51,42,PM,Evening Snack
205208,20:52:08,20,52,8,PM,Evening Snack
211600,21:16:00,21,16,0,PM,Evening Snack
214755,21:47:55,21,47,55,PM,Evening Snack
220340,22:03:40,22,3,40,PM,Evening Snack
220732,22:07:32,22,7,32,PM,Evening Snack
221213,22:12:13,22,12,13,PM,Evening Snack
113851,11:38:51,11,38,51,AM,Brunch
114050,11:40:50,11,40,50,AM,Brunch
115725,11:57:25,11,57,25,AM,Brunch
115856,11:58:56,11,58,56,AM,Brunch
120112,12:01:12,12,1,12,PM,Lunch
121015,12:10:15,12,10,15,PM,Lunch
122117,12:21:17,12,21,17,PM,Lunch
122246,12:22:46,12,22,46,PM,Lunch
122814,12:28:14,12,28,14,PM,Lunch
122911,12:29:11,12,29,11,PM,Lunch
123538,12:35:38,12,35,38,PM,Lunch
124001,12:40:01,12,40,1,PM,Lunch
124551,12:45:51,12,45,51,PM,Lunch
125327,12:53:27,12,53,27,PM,Lunch
131341,13:13:41,13,13,41,PM,Lunch
133449,13:34:49,13,34,49,PM,Lunch
134031,13:40:31,13,40,31,PM,Lunch
140102,14:01:02,14,1,2,PM,Afternoon Snack
141008,14:10:08,14,10,8,PM,Afternoon Snack
143019,14:30:19,14,30,19,PM,Afternoon Snack
